"Âmbito Geográfico";"Territórios";"2009 - Total";"2010 - Total";"2011 - Total";"2012 - Total";"2013 - Total";"2009 - Inferior ao básico  1º ciclo";"2010 - Inferior ao básico   1º ciclo";"2011 - Inferior ao básico   1º ciclo";"2012 - Inferior ao básico   1º ciclo";"2013 - Inferior ao básico  1º ciclo";"2009 - Básico   1º ciclo";"2010 - Básico   1º ciclo";"2011 - Básico   1º ciclo";"2012 - Básico   1º ciclo";"2013 - Básico   1º ciclo";"2009 - Básico   2º ciclo";"2010 - Básico   2º ciclo";"2011 - Básico   2º ciclo";"2012 - Básico   2º ciclo";"2013 - Básico   2º ciclo";"2009 - Básico   3º ciclo";"2010 - Básico   3º ciclo";"2011 - Básico   3º ciclo";"2012 - Básico   3º ciclo";"2013 - Básico   3º ciclo";"2009 - Secundário e Pós Secundário";"2010 - Secundário e Pós Secundário";"2011 - Secundário e Pós Secundário";"2012 - Secundário e Pós Secundário";"2013 - Secundário e Pós Secundário";"2009 - Superior";"2010 - Superior";"2011 - Superior";"2012 - Superior";"2013 - Superior";"2009 - Ignorado";"2010 - Ignorado";"2011 - Ignorado";"2012 - Ignorado";"2013 - Ignorado";"2009 - Poder de compra";"2010 - Poder de compra";"2011 - Poder de compra";"2012 - Poder de compra";"2013 - Poder de compra";"2009 - Consultas por hab.";"2010 - Consultas por hab.";"2011 - Consultas por hab.";"2012 - Consultas por hab.";"2013 - Consultas por hab."
"NUTS 2013";"Portugal";"1 034.20";"1 075.30";"1 083.80";"1 094.70";"1 093.30";"658";"673.4";"676.2";"681.4";"681.2";"741.4";"766.3";"769.3";"768.1";"768.9";"756.7";"784.8";"787.6";"788.8";"789.2";"850.5";"874.7";"868.1";"868.9";"862";"1 093.30";"1 116.80";"1 115.50";"1 115.60";"1 099.70";"1 937.50";"1 951.90";"1 931.90";"1 907.10";"1 872.10";"720.3";"954.4";"992.3";"1 106.20";"1 074.40";"100";"-";"100";"-";"-";"2.6";"2.6";"2.6";"2.5";"-"
"NUTS I";"Continente";"x";"1 076.30";"1 084.60";"1 095.60";"1 093.80";"x";"669.8";"672.3";"676.9";"677.5";"x";"763.7";"766.8";"765.7";"765.9";"x";"783.3";"786";"787.3";"787.5";"x";"874.2";"867.6";"868.4";"861.3";"x";"1 117.70";"1 116.20";"1 116.20";"1 099.90";"x";"1 952.00";"1 930.70";"1 906.80";"1 871.70";"x";"952.3";"991.4";"1 105.30";"1 072.60";"100.46";"-";"100.83";"-";"-";"2.7";"2.7";"2.7";"2.6";"-"
"NUTS II";"Norte";"x";"940.7";"949.1";"958.1";"963.4";"x";"644.7";"651.5";"656.5";"661.5";"x";"726.7";"733.5";"733.9";"739.2";"x";"726.2";"730.3";"736.3";"741.4";"x";"803";"798.8";"810.9";"805";"x";"1 011.50";"1 010.40";"1 004.40";"1 004.50";"x";"1 755.00";"1 735.10";"1 710.90";"1 685.20";"x";"984.7";"1 010.70";"1 087.30";"1 072.70";"87.64";"-";"89.22";"-";"-";"2.4";"2.3";"2.4";"2.3";"-"
"NUTS III";"Alto Minho";"x";"855.5";"860.8";"864.7";"878.9";"x";"659.7";"630";"666.5";"652.2";"x";"733.4";"730.4";"729.9";"738.4";"x";"709.1";"712.6";"716";"727.8";"x";"749.2";"744.9";"758.8";"769.9";"x";"881.9";"873.7";"879.7";"890.3";"x";"1 537.80";"1 556.50";"1 495.10";"1 490.60";"x";"948.6";"1 002.40";"989.1";"1 055.90";"73.59";"-";"77.57";"-";"-";"2.9";"3";"3";"2.7";"-"
"Município";"Arcos de Valdevez";"734.4";"757.7";"764.5";"789.9";"802.3";"542.9";"575.8";"559.2";"616.8";"596.4";"616.1";"634.3";"647.5";"664.2";"661.2";"628.4";"632.9";"646.3";"673.2";"693.1";"662.1";"663.4";"684.1";"698.6";"713.3";"765.5";"803.9";"797.3";"792.6";"811.7";"1 377.00";"1 342.70";"1 356.20";"1 385.50";"1 359.80";"616.3";"716.9";"573.5";"...";"//";"55.76";"-";"61.97";"-";"-";"3.6";"3.6";"3.4";"3.1";"-"
"Município";"Caminha";"879.2";"911.4";"854.9";"846.2";"843.1";"696";"670.6";"581.8";"603.5";"592.7";"822.5";"856";"705.7";"707.4";"694.6";"716.5";"757.7";"706";"671.9";"690.6";"749";"738.3";"712.6";"721.1";"722.2";"835.6";"837.7";"811.1";"830.5";"799.4";"1 530.50";"1 715.60";"1 539.00";"1 483.60";"1 429.70";"611.8";"672.2";"1 177.60";"//";"...";"80.34";"-";"81.83";"-";"-";"3.2";"3.1";"2.8";"2.6";"-"
"Município";"Melgaço";"729.9";"766.3";"753.1";"735.7";"757.2";"619.7";"532.5";"608.7";"602.5";"566.2";"626.1";"670.3";"672.6";"648";"679.1";"580.9";"596.9";"599.3";"589.5";"586.9";"692.2";"712.2";"690.6";"690.1";"713.6";"833.1";"838";"830";"817";"803.5";"1 267.60";"1 340.40";"1 332.80";"1 263.50";"1 321.10";"578.5";"1 065.30";"651.8";"617.6";"//";"55.83";"-";"62.47";"-";"-";"3.2";"3.9";"3.5";"3.1";"-"
"Município";"Monção";"718.7";"769.3";"768.1";"773.5";"786.5";"585.1";"607.8";"638.5";"697.5";"684.2";"638";"704.7";"670.3";"698.6";"699.7";"669.1";"689.7";"678.8";"692.8";"687.1";"632.2";"695.3";"683.2";"686.5";"724.3";"767";"794.3";"821.3";"827.5";"822.1";"1 205.70";"1 212.30";"1 215.90";"1 189.80";"1 210.10";"500";"1 054.30";"959.6";"...";"963.9";"62.87";"-";"69.43";"-";"-";"2.7";"2.7";"3";"2.9";"-"
"Município";"Paredes de Coura";"713.7";"731.1";"740";"733.7";"751.1";"631.8";"555";"603.3";"556.7";"566.7";"630.4";"649.9";"641";"636.9";"653.5";"614.5";"616.2";"629.8";"635.7";"658";"657.1";"672";"661.8";"684.5";"706.5";"841.2";"808.6";"803.1";"791.9";"763.8";"1 335.80";"1 365.90";"1 378.40";"1 259.20";"1 232.60";"450";"826";"//";"...";"...";"56.1";"-";"59.25";"-";"-";"2.2";"3.7";"3.6";"2.8";"-"
"Município";"Ponte da Barca";"753.8";"790.1";"789.5";"796.3";"792.4";"638.5";"645.9";"628.9";"735.2";"643.8";"665.4";"688.6";"689.3";"702.1";"716.7";"646.7";"671.6";"673.2";"711.4";"686.5";"699.9";"732.7";"722.2";"731";"739.5";"828.9";"881.6";"875.7";"866.3";"842.7";"1 328.50";"1 376.10";"1 321.00";"1 238.40";"1 173.90";"//";"763.9";"671.5";"...";"1 058.60";"53.35";"-";"60.15";"-";"-";"3.4";"3.3";"3.2";"2.9";"-"
